C,SF,FA,SL,MK,Fine_Agg,Coarse_Agg,W,SP,L,D,Fiber_Volume_pct,CS,W_C_ratio,Total_Binder,Total_Fiber,SF_C_ratio,W_Binder_ratio,Fiber_Aspect_Ratio
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,50.0,0.6,0.5,78.02,0.33805309674680867,621.5,0.5,0.09999999982300885,0.3073209970920016,83.33319444467593
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,50.0,0.6,1.0,80.95,0.33805309674680867,621.5,1.0,0.09999999982300885,0.3073209970920016,83.33319444467593
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,50.0,0.6,1.2500636942675158,86.21,0.33805309674680867,621.5,1.2500636942675158,0.09999999982300885,0.3073209970920016,83.33319444467593
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,50.0,0.6,1.5,89.19,0.33805309674680867,621.5,1.5,0.09999999982300885,0.3073209970920016,83.33319444467593
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,50.0,0.6,1.750063694267516,91.73,0.33805309674680867,621.5,1.750063694267516,0.09999999982300885,0.3073209970920016,83.33319444467593
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,50.0,0.6,2.0,93.56,0.33805309674680867,621.5,2.0,0.09999999982300885,0.3073209970920016,83.33319444467593
385.0,0.0,0.0,0.0,0.0,920.15,881.65,177.1,2.31,0.0,0.0,0.0,41.3,0.4599999988051948,385.0,0.0,0.0,0.4599999988051948,0.0
385.0,0.0,0.0,0.0,0.0,912.45,873.95,177.1,3.85,60.0,0.75,0.4968152866242038,46.35,0.4599999988051948,385.0,0.4968152866242038,0.0,0.4599999988051948,79.99989333347555
385.0,0.0,0.0,0.0,0.0,904.75,870.0999999999999,177.1,4.62,60.0,0.75,0.9936305732484076,47.25,0.4599999988051948,385.0,0.9936305732484076,0.0,0.4599999988051948,79.99989333347555
450.0,0.0,0.0,0.0,0.0,913.5,877.5,162.0,4.949999999999999,60.0,0.75,0.0,55.58,0.35999999920000003,450.0,0.0,0.0,0.35999999920000003,79.99989333347555
450.0,0.0,0.0,0.0,0.0,904.5,868.5,162.0,5.85,60.0,0.75,0.4968152866242038,58.44,0.35999999920000003,450.0,0.4968152866242038,0.0,0.35999999920000003,79.99989333347555
450.0,0.0,0.0,0.0,0.0,900.0,864.0,162.0,6.75,60.0,0.75,0.9936305732484076,60.21,0.35999999920000003,450.0,0.9936305732484076,0.0,0.35999999920000003,79.99989333347555
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,0.0,0.0,0.0,52.4,0.4499999987142857,350.0,0.0,0.0,0.4499999987142857,0.0
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,40.0,0.62,0.4968152866242038,60.7,0.4499999987142857,350.0,0.4968152866242038,0.0,0.4499999987142857,64.51602497415327
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,40.0,0.62,0.9936305732484076,64.1,0.4499999987142857,350.0,0.9936305732484076,0.0,0.4499999987142857,64.51602497415327
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,40.0,0.62,1.4904458598726114,62.3,0.4499999987142857,350.0,1.4904458598726114,0.0,0.4499999987142857,64.51602497415327
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,50.0,0.62,0.4968152866242038,55.8,0.4499999987142857,350.0,0.4968152866242038,0.0,0.4499999987142857,80.64503121769158
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,50.0,0.62,0.9936305732484076,62.3,0.4499999987142857,350.0,0.9936305732484076,0.0,0.4499999987142857,80.64503121769158
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,50.0,0.62,1.4904458598726114,64.2,0.4499999987142857,350.0,1.4904458598726114,0.0,0.4499999987142857,80.64503121769158
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,60.0,0.75,0.4968152866242038,58.9,0.4499999987142857,350.0,0.4968152866242038,0.0,0.4499999987142857,79.99989333347555
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,60.0,0.75,0.9936305732484076,59.7,0.4499999987142857,350.0,0.9936305732484076,0.0,0.4499999987142857,79.99989333347555
350.0,0.0,0.0,0.0,0.0,797.9999999999999,1078.0,157.5,0.42,60.0,0.75,1.4904458598726114,66.2,0.4499999987142857,350.0,1.4904458598726114,0.0,0.4499999987142857,79.99989333347555
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,0.0,0.0,0.0,61.7,0.34999999922222225,450.0,0.0,0.0,0.34999999922222225,0.0
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,40.0,0.62,0.4968152866242038,67.4,0.34999999922222225,450.0,0.4968152866242038,0.0,0.34999999922222225,64.51602497415327
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,40.0,0.62,0.9936305732484076,72.3,0.34999999922222225,450.0,0.9936305732484076,0.0,0.34999999922222225,64.51602497415327
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,40.0,0.62,1.4904458598726114,75.9,0.34999999922222225,450.0,1.4904458598726114,0.0,0.34999999922222225,64.51602497415327
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,50.0,0.62,0.4968152866242038,73.8,0.34999999922222225,450.0,0.4968152866242038,0.0,0.34999999922222225,80.64503121769158
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,50.0,0.62,0.9936305732484076,76.4,0.34999999922222225,450.0,0.9936305732484076,0.0,0.34999999922222225,80.64503121769158
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,50.0,0.62,1.4904458598726114,77.3,0.34999999922222225,450.0,1.4904458598726114,0.0,0.34999999922222225,80.64503121769158
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,60.0,0.75,0.4968152866242038,68.0,0.34999999922222225,450.0,0.4968152866242038,0.0,0.34999999922222225,79.99989333347555
450.0,0.0,0.0,0.0,0.0,715.5,1053.0,157.5,0.675,60.0,0.75,0.9936305732484076,70.6,0.34999999922222225,450.0,0.9936305732484076,0.0,0.34999999922222225,79.99989333347555
